Unnamed: 0,event_id,event_title,event_slug,event_start,event_end,market_id,question,market_slug,market_type,active,closed,enable_order_book,clob_token_ids,priority_tier,analysis_category,selection_rationale
688,708641,Spain vs. Argentina - More Markets,fifwc-esp-arg-2026-07-19-more-markets,2026-07-16T03:06:52.884617Z,2026-07-19T19:00:00Z,2945089,Spain vs. Argentina: Spain O/U 1.5,fifwc-esp-arg-2026-07-19-team-total-home-1pt5,soccer_team_totals,True,False,True,"[""38830751010130480335360158234149115557694649367342989164909218073954827414392"", ""69836619484603697415335565392789354837263389131211124276207135944947763729616""]",1,goal_ladder,Threshold ladder reveals cross-market consistency after goals.
721,708642,Spain vs. Argentina - Total Corners,fifwc-esp-arg-2026-07-19-total-corners,2026-07-16T03:07:25.660201Z,2026-07-19T19:00:00Z,2946992,Spain vs. Argentina: Argentina O/U 3.5 Corners,fifwc-esp-arg-2026-07-19-corners-team-away-3pt5,soccer_team_total_corners,True,False,True,"[""73444950382569205967688503620310621230483251152362611391429647026586427856542"", ""16402754311795384837394642803522713215117597874310160959626471402838898685890""]",2,corners,Frequent observable events allow repeated market-reaction tests.
722,708642,Spain vs. Argentina - Total Corners,fifwc-esp-arg-2026-07-19-total-corners,2026-07-16T03:07:25.660201Z,2026-07-19T19:00:00Z,2946994,Spain vs. Argentina: Argentina O/U 4.5 Corners,fifwc-esp-arg-2026-07-19-corners-team-away-4pt5,soccer_team_total_corners,True,False,True,"[""3796172721600717202755466600225929888362314613195263348371083384271541719892"", ""28702343548331938994450854595757632572728703046703053639373528332859073266202""]",2,corners,Frequent observable events allow repeated market-reaction tests.
710,708642,Spain vs. Argentina - Total Corners,fifwc-esp-arg-2026-07-19-total-corners,2026-07-16T03:07:25.660201Z,2026-07-19T19:00:00Z,2942091,Spain vs. Argentina: O/U 11.5 Total Corners,fifwc-esp-arg-2026-07-19-corners-total-11pt5,total_corners,True,False,True,"[""114407872046271014049974812468345324983840270246338723559484175155285594720118"", ""5276805451642985851441312018990805778197884630819859950202836307326431497186""]",2,corners,Frequent observable events allow repeated market-reaction tests.
706,708642,Spain vs. Argentina - Total Corners,fifwc-esp-arg-2026-07-19-total-corners,2026-07-16T03:07:25.660201Z,2026-07-19T19:00:00Z,2942087,Spain vs. Argentina: O/U 7.5 Total Corners,fifwc-esp-arg-2026-07-19-corners-total-7pt5,total_corners,True,False,True,"[""62297234945470202633521042925717694851731938289986095644136689608717831573280"", ""14779115833904937674097764073453701387964631439951402547450795360800782701769""]",2,corners,Frequent observable events allow repeated market-reaction tests.
708,708642,Spain vs. Argentina - Total Corners,fifwc-esp-arg-2026-07-19-total-corners,2026-07-16T03:07:25.660201Z,2026-07-19T19:00:00Z,2942089,Spain vs. Argentina: O/U 9.5 Total Corners,fifwc-esp-arg-2026-07-19-corners-total-9pt5,total_corners,True,False,True,"[""58099927348932613457612110542604695170841031065893301089162724368076781554350"", ""33828905686744352504401030470185377424515449695732960804300825727635006324623""]",2,corners,Frequent observable events allow repeated market-reaction tests.
723,708642,Spain vs. Argentina - Total Corners,fifwc-esp-arg-2026-07-19-total-corners,2026-07-16T03:07:25.660201Z,2026-07-19T19:00:00Z,2946996,Spain vs. Argentina: Spain O/U 3.5 Corners,fifwc-esp-arg-2026-07-19-corners-team-home-3pt5,soccer_team_total_corners,True,False,True,"[""87627593236447009326283483113573690968807285694678985718420516764750262539249"", ""47051696656187637496372034973741634338728567334606972612524314572135804902048""]",2,corners,Frequent observable events allow repeated market-reaction tests.
724,708642,Spain vs. Argentina - Total Corners,fifwc-esp-arg-2026-07-19-total-corners,2026-07-16T03:07:25.660201Z,2026-07-19T19:00:00Z,2946998,Spain vs. Argentina: Spain O/U 4.5 Corners,fifwc-esp-arg-2026-07-19-corners-team-home-4pt5,soccer_team_total_corners,True,False,True,"[""60932047582050241065510309315321185045507415646740524014918345521551849870703"", ""40609539806272242140326847904779599128430638391059108864174666488512356918008""]",2,corners,Frequent observable events allow repeated market-reaction tests.
1196,711855,World Cup Final: Method of Victory,world-cup-final-method-of-victory-20260716201406507,2026-07-17T00:18:57.260394Z,2026-07-19T23:59:00Z,2953670,Will the method of victory for the 2026 FIFA World Cup Final be Argentina Win: Extra Time?,will-the-method-of-victory-for-the-2026-fifa-world-cup-final-be-argentina-win-extra-time-20260716201406509,,True,False,True,"[""60135657872278033901601383128220599842181094634936994753975032433399542338557"", ""78468323854104778552212352594300362431900102057843668402951475773801011004982""]",2,method_of_victory,"Decomposes winner probability by regulation, extra time, and penalties."
1197,711855,World Cup Final: Method of Victory,world-cup-final-method-of-victory-20260716201406507,2026-07-17T00:18:57.260394Z,2026-07-19T23:59:00Z,2953671,Will the method of victory for the 2026 FIFA World Cup Final be Argentina Win: Penalty Shootout?,will-the-method-of-victory-for-the-2026-fifa-world-cup-final-be-argentina-win-penalty-shootout-20260716201406510,,True,False,True,"[""8036805367116233926849623308242869868093781897545662233461658017236441104364"", ""32343918613135058267089140089087726901353260576499735299433301853931433278081""]",2,method_of_victory,"Decomposes winner probability by regulation, extra time, and penalties."
1195,711855,World Cup Final: Method of Victory,world-cup-final-method-of-victory-20260716201406507,2026-07-17T00:18:57.260394Z,2026-07-19T23:59:00Z,2953669,Will the method of victory for the 2026 FIFA World Cup Final be Argentina Win: Regular Time?,will-the-method-of-victory-for-the-2026-fifa-world-cup-final-be-argentina-win-regular-time-20260716201406508,,True,False,True,"[""66025717869484346291584451913676116325908224957076380456045991768141865205122"", ""14892241565183580520017869700375668775874334760403736216248515878113852075393""]",2,method_of_victory,"Decomposes winner probability by regulation, extra time, and penalties."
1199,711855,World Cup Final: Method of Victory,world-cup-final-method-of-victory-20260716201406507,2026-07-17T00:18:57.260394Z,2026-07-19T23:59:00Z,2953673,Will the method of victory for the 2026 FIFA World Cup Final be Spain Win: Extra Time?,will-the-method-of-victory-for-the-2026-fifa-world-cup-final-be-spain-win-extra-time-20260716201406512,,True,False,True,"[""84190757399072369953984309564712107413581409550888657675333315797067840764739"", ""101279621509030667133983212619764486628669240154976985498686426034410534384465""]",2,method_of_victory,"Decomposes winner probability by regulation, extra time, and penalties."
1200,711855,World Cup Final: Method of Victory,world-cup-final-method-of-victory-20260716201406507,2026-07-17T00:18:57.260394Z,2026-07-19T23:59:00Z,2953674,Will the method of victory for the 2026 FIFA World Cup Final be Spain Win: Penalty Shootout?,will-the-method-of-victory-for-the-2026-fifa-world-cup-final-be-spain-win-penalty-shootout-20260716201406513,,True,False,True,"[""87104229334397334915272757045675370538886285387392973279468710588049690692223"", ""32284767547048252961649913625466747166388451973274015022841459907301085220513""]",2,method_of_victory,"Decomposes winner probability by regulation, extra time, and penalties."
1198,711855,World Cup Final: Method of Victory,world-cup-final-method-of-victory-20260716201406507,2026-07-17T00:18:57.260394Z,2026-07-19T23:59:00Z,2953672,Will the method of victory for the 2026 FIFA World Cup Final be Spain Win: Regular Time?,will-the-method-of-victory-for-the-2026-fifa-world-cup-final-be-spain-win-regular-time-20260716201406511,,True,False,True,"[""21531798825675144697250109800931919534135098136598544563487053724309843685038"", ""27389181380073282932518710344836923682927012254981905347738805666697112669549""]",2,method_of_victory,"Decomposes winner probability by regulation, extra time, and penalties."
727,709182,Spain vs. Argentina - Player Props,fifwc-esp-arg-2026-07-19-player-props,2026-07-16T06:42:22.381063Z,2026-07-19T19:00:00Z,2943688,David Raya: 3+ saves,fifwc-esp-arg-2026-07-19-saves-david-raya-gte3,soccer_player_goalkeeper_saves,True,False,True,"[""36988753783723752091639612008488951540283296947661745914801431645242096203129"", ""115532626142313927461775745971979071509617704061524712572364329213373024080150""]",2,player_props,"Maps directly to timestamped shots, shots on target, and saves."
731,709182,Spain vs. Argentina - Player Props,fifwc-esp-arg-2026-07-19-player-props,2026-07-16T06:42:22.381063Z,2026-07-19T19:00:00Z,2943696,Juan Musso: 3+ saves,fifwc-esp-arg-2026-07-19-saves-juan-musso-gte3,soccer_player_goalkeeper_saves,True,False,True,"[""15341244262148977522933559842968425581930451889508956028982918740176584227332"", ""46442306085421483082225752654980537027320458786425678618790573438994902531100""]",2,player_props,"Maps directly to timestamped shots, shots on target, and saves."
952,709182,Spain vs. Argentina - Player Props,fifwc-esp-arg-2026-07-19-player-props,2026-07-16T06:42:22.381063Z,2026-07-19T19:00:00Z,2944598,Julián Álvarez: 1+ shots on target,fifwc-esp-arg-2026-07-19-shots-on-target-julian-alvarez-gte1,soccer_player_shots_on_target,True,False,True,"[""67835070505742254367234632251077608673381966856496952520362894184049587673172"", ""59362731364466925004475709767358108461020589029514425212326688841211593711663""]",2,player_props,"Maps directly to timestamped shots, shots on target, and saves."
896,709182,Spain vs. Argentina - Player Props,fifwc-esp-arg-2026-07-19-player-props,2026-07-16T06:42:22.381063Z,2026-07-19T19:00:00Z,2944534,Julián Álvarez: 2+ shots,fifwc-esp-arg-2026-07-19-shots-julian-alvarez-gte2,soccer_player_shots,True,False,True,"[""50008732638624240712460539000449374206610245870715376278696161794552357419666"", ""81201839768524965031020190436238242377897554369605669092298237016429966200218""]",2,player_props,"Maps directly to timestamped shots, shots on target, and saves."
955,709182,Spain vs. Argentina - Player Props,fifwc-esp-arg-2026-07-19-player-props,2026-07-16T06:42:22.381063Z,2026-07-19T19:00:00Z,2944601,Lamine Yamal: 1+ shots on target,fifwc-esp-arg-2026-07-19-shots-on-target-lamine-yamal-gte1,soccer_player_shots_on_target,True,False,True,"[""103517253677779468104787600875660348091872771332703624023211355704320031526119"", ""19066855647934027061707528387313967633315642185353129908948109848600445637164""]",2,player_props,"Maps directly to timestamped shots, shots on target, and saves."
901,709182,Spain vs. Argentina - Player Props,fifwc-esp-arg-2026-07-19-player-props,2026-07-16T06:42:22.381063Z,2026-07-19T19:00:00Z,2944544,Lamine Yamal: 2+ shots,fifwc-esp-arg-2026-07-19-shots-lamine-yamal-gte2,soccer_player_shots,True,False,True,"[""65727982206155695104541784008214968221733557894696568949338326316512111889041"", ""61471074700721433482418507903417250579199127155162690003336508507822570869325""]",2,player_props,"Maps directly to timestamped shots, shots on target, and saves."
956,709182,Spain vs. Argentina - Player Props,fifwc-esp-arg-2026-07-19-player-props,2026-07-16T06:42:22.381063Z,2026-07-19T19:00:00Z,2944602,Lamine Yamal: 2+ shots on target,fifwc-esp-arg-2026-07-19-shots-on-target-lamine-yamal-gte2,soccer_player_shots_on_target,True,False,True,"[""109368034418243114245468273826845697398540780686871296684526800736841828629549"", ""28078616405209971479266089471602875091799269145880341050350049766592743750298""]",2,player_props,"Maps directly to timestamped shots, shots on target, and saves."
902,709182,Spain vs. Argentina - Player Props,fifwc-esp-arg-2026-07-19-player-props,2026-07-16T06:42:22.381063Z,2026-07-19T19:00:00Z,2944546,Lamine Yamal: 3+ shots,fifwc-esp-arg-2026-07-19-shots-lamine-yamal-gte3,soccer_player_shots,True,False,True,"[""355848982045107683455478321778595514658610469403648187261672868768019385416"", ""42448875974763585184682862581636712932464689024665274674808526230245161428719""]",2,player_props,"Maps directly to timestamped shots, shots on target, and saves."
961,709182,Spain vs. Argentina - Player Props,fifwc-esp-arg-2026-07-19-player-props,2026-07-16T06:42:22.381063Z,2026-07-19T19:00:00Z,2944607,Lionel Messi: 1+ shots on target,fifwc-esp-arg-2026-07-19-shots-on-target-lionel-messi-gte1,soccer_player_shots_on_target,True,False,True,"[""72779855377318311669406319764709390199775615361749159188848760856319130314910"", ""52420319849119798881243570214827585942694068777188169859869824657847416003903""]",2,player_props,"Maps directly to timestamped shots, shots on target, and saves."
909,709182,Spain vs. Argentina - Player Props,fifwc-esp-arg-2026-07-19-player-props,2026-07-16T06:42:22.381063Z,2026-07-19T19:00:00Z,2944555,Lionel Messi: 2+ shots,fifwc-esp-arg-2026-07-19-shots-lionel-messi-gte2,soccer_player_shots,True,False,True,"[""111927641461032008775248486634328084196382867454452631546699453017561659285771"", ""28331821888346279879556154535252722192716889750307336008887342078178868166985""]",2,player_props,"Maps directly to timestamped shots, shots on target, and saves."
962,709182,Spain vs. Argentina - Player Props,fifwc-esp-arg-2026-07-19-player-props,2026-07-16T06:42:22.381063Z,2026-07-19T19:00:00Z,2944608,Lionel Messi: 2+ shots on target,fifwc-esp-arg-2026-07-19-shots-on-target-lionel-messi-gte2,soccer_player_shots_on_target,True,False,True,"[""1200052971963751295867175760944147625748455269385956248793292887486796208760"", ""37660391621725327546693023341694381919712582962437232691802318043610703717790""]",2,player_props,"Maps directly to timestamped shots, shots on target, and saves."
910,709182,Spain vs. Argentina - Player Props,fifwc-esp-arg-2026-07-19-player-props,2026-07-16T06:42:22.381063Z,2026-07-19T19:00:00Z,2944556,Lionel Messi: 3+ shots,fifwc-esp-arg-2026-07-19-shots-lionel-messi-gte3,soccer_player_shots,True,False,True,"[""15093703015426976209236306413394207170210129289842398183903524800537664396532"", ""53868059366140674181460329985940983860930842520974281598176141918488476311408""]",2,player_props,"Maps directly to timestamped shots, shots on target, and saves."
966,709182,Spain vs. Argentina - Player Props,fifwc-esp-arg-2026-07-19-player-props,2026-07-16T06:42:22.381063Z,2026-07-19T19:00:00Z,2944612,Mikel Oyarzabal: 1+ shots on target,fifwc-esp-arg-2026-07-19-shots-on-target-mikel-oyarzabal-gte1,soccer_player_shots_on_target,True,False,True,"[""14602360319732802977926800835710267900504239744601403211842001636448795929170"", ""97484187087240493711605772090440641472814189932336980201852096004731314680109""]",2,player_props,"Maps directly to timestamped shots, shots on target, and saves."
916,709182,Spain vs. Argentina - Player Props,fifwc-esp-arg-2026-07-19-player-props,2026-07-16T06:42:22.381063Z,2026-07-19T19:00:00Z,2944562,Mikel Oyarzabal: 2+ shots,fifwc-esp-arg-2026-07-19-shots-mikel-oyarzabal-gte2,soccer_player_shots,True,False,True,"[""32223711412178943982030270626638448026800585557629655786009796320888088635092"", ""18272719033348269041951737255367584810163045833656455385794678970612616707994""]",2,player_props,"Maps directly to timestamped shots, shots on target, and saves."
